,,,,,,
,8346,BILL JENSEN & SON INC,1,1,,
,8366,HIRAI FARMS LLC,1,1,,
,8378,SCHATZ BROTHERS INC,1,1,,
,8393,SANTA MARGARITA RANCH LLC,1,1,,
,8415,SCEIRINE FREDRICKS RANCH,1,1,,
,8423,LB FARMS LLC,1,1,,
,8524,DOUGLAS R MEYERS FARMS,1,1,,
,8531,(blank),1,1,,
,8534,(blank),1,1,,
,8553,ERB LIVESTOCK JOHN ERB,2,2,,
,8585,THOMPSON FARMS INC,1,1,,
,8595,WHITESIDES DAIRY INC,1,1,,
,8634,BRUCE BEAN FARMS INC,1,1,,
,8663,V O ENTERPRISES,1,1,,
,8671,WANG RANCH LLC,1,,,1
,8673,DALLAN JEPPESEN INC,1,1,,
,8675,ROGERS RANCH L L C,1,1,,
,8699,BLUE COLLAR FARMS LLC,1,1,,
,8711,QUARTER CIRCLE W LLC,1,1,,
,8715,JEPPESEN BROTHERS RANCH,1,1,,
,8717,SUNRISE ORGANIC DAIRY LLC,1,2,,
,8764,DELTA TRANSPORT LLC,1,1,,
,8771,LAKEVIEW AG & LIVESTOCK LLC,1,1,,
,8784,DIAMOND K FARMS,1,1,,
,8802,DANCE FARMS LLC,1,,,1
,8812,RODNEY D & REBECCA LAKE DBA LAKE A,1,1,,
,8821,DIXON FARM & RANCH LLC,1,1,,
,8856,H DAVID CHRISTENSEN,1,1,,
,8880,CLEN ATCHLEY DBA CEA CORP INC,1,1,,
,,SILVER RIDGE RANCH INC,1,1,,
,8898,JOHN R MARSHALL FARMS,1,1,,
,8901,BITTERROOT STOCK FARM INC DBA BRSF,1,1,,
,8918,FLYING H FARMS PARTNERSHIP,1,1,,
,8970,CENTURY AG INC,3,3,,
,8973,T L K FARMS INC,1,1,,
,8988,GREGORY A MANN DBA TRIANGLE M FARM,1,1,,
,9001,BALL TRADING CO INC,1,1,,
,9057,NATHAN SCHROEDER DBA N & M FARMS,1,1,,
,9063,M & M FARMING INC,1,1,,
,9096,SUTHERLIN FARMS LLC,1,1,,
,9103,MICHAEL G STEINMANN DBA DOUBLE S F,,1,,
,9107,LS CARSON MINK RANCH LLC,1,1,,
,9115,SUNRAIN VARIETIES LLC,1,1,,
,9128,CEDAR FARMS INC,1,1,,
,9139,(blank),1,1,,
,9170,WOLFE HEREFORD RANCH,1,1,,
,9178,JON WELLS FARMS INC,1,1,,
,9182,HARPER FAMILY LLC,1,1,,
,9183,ROCK CREEK CATTLE CO LTD,1,1,,
,9188,G RANCHES INC,1,1,,
,9190,(blank),1,1,,
,9193,ARKOOSH WILLIAM F & KAREN/WILLIAM,1,1,,
,9297,MITCH NEIBAUR FARMS LLC,1,1,,
,9330,BROWN & BROWN OF MT INC,1,1,,
,9369,PEP PARTNERSHIP,1,1,,
,9387,R & C FARMS,1,1,,
,9395,JURICA CORP,1,,,1
,9475,RALPH JOHNSON FARM PARTNERSHIP,1,1,,
,9488,YOUNG S RIVERFRONT RANCH LP,1,1,,
,9515,ARLAN R ISAAC,1,1,,
,9562,DAVID TUK NEDROW NEDROW BROTHERS F,1,,,1
,9584,BROKEN CIRCLE RANCH,1,1,,
,9593,HUNTSMAN RANCH CO,1,1,,
,9599,EAMES ACRES INC,1,1,,
,9600,MALESICH RANCH CO,1,1,,
,9652,CLARK CANYON RANCH LLC,1,1,,
,9677,DARROW FARMS INC,1,1,,
,9697,KRIS TAYLOR FARMS INC,2,2,,
,9701,AARON POVEY FARMS,1,1,,
,9715,RIVER RANCH ENTERPRISES INC,1,1,,
,9729,GRANT 4 D FARMS LLC,2,2,,
,9745,LUKE HICKS DBA HICKS LIVESTOCK,1,,,1
,9767,"WARD BROTHERS, INC.",1,1,,
,9775,POLATIS BROTHERS FARMS,1,1,,
,9781,C E JACKSON FARMS INC,1,1,,
,9797,DESERT RIDGE FARMS INC,1,1,,
,9814,WOOD AG MGMT INC,1,1,,
,9842,SCHROEDER HOP LLP,1,1,,
,9862,CHRISTENSEN FAMILY FARMS LLC,1,1,,
,9875,NICHOLES SEED FARMS,1,,,1
,9898,MOGUS LAND & LIVESTOCK LLC,1,2,,
,9899,MARTY D & CODY L BEADZ DBA BEADZ B,1,1,,
,,WTR MARTIN FARMS PARTNERSHIP,1,1,,
,9905,DIXON LAND & CATTLE LLC,1,1,,
,9937,(blank),1,1,,
,9943,RISENMAY FARMS INC,1,1,,
,9949,PIERSON FARMS INC,1,1,,
,9972,FESSENDEN CUSTOM FARMING,1,1,,
,9980,GOLDEN SUN FARMS INC,1,1,,
,9982,TRIPLE ACE INC,1,1,,
,9984,BLACKBURN FARMING LLC,1,1,,
,9988,"DB REED FARM, INC",1,1,,
Idaho Total,,,714,708,1,26
Illinois,569,WALKER PLACE,1,1,,
,2023,BASS FARMS,1,1,,
,4812,FRONTIER FARMS,1,1,,
,5802,RJ PORK LLC,1,1,,
Illinois Total,,,4,4,,
Indiana,99,PHENIX FARMS INC,2,1,,1
,430,OZARK FISHERIES,1,1,,
,4172,LORD S SEED LLC,1,1,,
,4350,TOP NOTCH PORK LLC,1,2,,
,4504,WOODY WAREHOUSE NURSERY INC,2,2,,
,4529,GREEN ACRES PRODUCE INC,1,1,,
,5972,PICKIN PATCH INC DBA INDIANA BERRY,1,1,,
,8162,LITTLE BY LITTLE FARM LLC,1,1,,
,8435,BLUEBERRY RANCH LLC,1,1,,
Indiana Total,,,11,11,,1
Iowa,,ALEWELT CONCRETE INC,,1,,
,,L R FORAGE HARVESTING,1,1,,
,,WACHSTETTER FARMS INC,1,1,,
,137,GM DIX INC,1,1,,
,216,LANGAGER STACK MOVERS & ROLL OFF,1,1,,
,574,JESSICA WELDON,,1,,
,628,HF FARMS,1,1,,
,653,MACFARLANE PHEASANTS INC,2,2,,
,693,GEORGE SHELDON,1,1,,
,711,THOUVENEL HARVESTING,1,1,,
,741,D & M HARVESTING LLC,1,1,,
,856,ERIC NYSTUEN,1,1,,
,1253,KUCHENBECKER EXCAVATING INC,1,2,,
,1268,HERITAGE FAMILY FARMS,1,1,,
,1458,KEVIN OPP FARM,1,,,
,,KEVIN OPP FARMS,1,,,1
,1503,REYNOLDS AG TRANSPORT,1,,,1
,1553,TERRICK FARMS LLC,1,1,,
,1726,K FARMS INC,1,1,,
,1732,EKSTRUM FARMS,1,1,,
,1761,DREWELOW & SONS INC,1,1,,
,1832,KLEINSASSER FARMS,1,1,,
,1836,RDS CONSTRUCTION LLC,,1,,
,1928,MURRAY MCMURRAY HATCHERY INC,1,1,,
,1983,EMERICK FARMS,1,1,,
,1992,MARK SUTA FARMS,1,1,,
,2085,ML FARM SYSTEMS INC,4,6,,
,2103,DANNER FARMS INC,1,1,,
,2259,LEE FARMING & HARVESTING INC,1,1,,
,2422,BEBERMEYER FARMS LLC,1,1,,
,2538,PRECISION PUMPING LLC,1,1,,
,2585,LENARD AG CO,1,1,,
,,LENNARD AG CO,1,1,,
,2589,SJS FARMS INC,1,1,,
,2679,MARK PAPLOW HARVESTING & TRUCKING,1,1,,
,2709,WALLIN INC,1,1,,
,2935,LUNDEEN HARVESTING,1,1,,
,3051,FRONTIER DAIRY LLC,2,2,,
,3109,RHEA BROTHERS,2,1,,1
,3255,STONY CREEK PORK CO,1,1,,
,3380,DONALD LAMBOURN,1,,,1
,3406,INGALLS HONEY INC,4,4,,
,3446,CROSSROADS FAMILY FARMS,1,1,,
,3466,S J DOWLING FARMS,1,1,,
,3532,CARL PEPPER FARM,1,1,,
,3577,DUSTIN J SHAW,1,1,,
,3601,PROGRESSIVE AGRICULTURAL MGMT,1,1,,
,3621,ROSTAD FARMS LLP,1,1,,
,3634,L J PATTISON LLC,1,1,,
,3709,HEINRICHS HARVESTING CO,1,1,,
,3721,WHISKEY CREEK ARKANSAS,4,4,,
,3855,GARY & KAREN JACKSON FARMS,1,1,,
,4132,FITTERER FARM,1,1,,
,4134,ROBERT HAY FARMS INC,1,1,,
,4413,WHEELIN & SQUEALIN LLC,1,1,,
,4435,PEARSON LIVESTOCK MGMT LLC,1,1,,
,4480,IOWA RIVER AG LLC,1,1,,
,4517,GUNNEWICK CUSTOM HARVEST INC,1,1,,
,4557,GEMBERLING EXCAVATING INC,1,1,,
,4654,MORGAN FORAGE HARVESTING,2,2,,
,4736,CHARLES BAKER FARMS,1,1,,
,4814,FARMING FRIENDS INC,1,1,,
,4827,CENTRAL VALLEY AG COOPERATIVE COLU,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE GLEN,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE GREE,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE HAMP,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE HINT,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE ORCH,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE RAND,1,1,,
,,CENTRAL VALLEY AG COOPERATIVE WAKE,1,1,,
,4837,RUST RANCHES,1,1,,
,4999,MARK A NOVAK,1,1,,
,5036,VAN KOOTEN FARMS,1,1,,
,5106,CROSSON ENTERPRISES LLC,1,1,,
,5159,TYRONE E UNRUH,1,1,,
,5189,HOOVER S HATCHERY CO LLC,1,1,,
,5211,SUNRISE ORCHARDS INC,1,1,,
,5217,VANZEE RANCH LLC,1,1,,
,5238,JW READY MIX & CONSTRUCTION INC,1,1,,
,5310,GEER HARVESTING,1,1,,
,5356,WILLIAM KEITH CHISHOLM,1,1,,
,5411,VAN KO CHOPPING LLC,1,1,,
,5496,OAK VIEW FARMS,1,1,,
,5539,S T ORGANICS LLC,1,1,,
,5560,BS COMPOST LLC,3,2,,1
,,SMITH FARMS LTD,1,1,,
,5615,FONDOMONTE CALIFORNIA LLC,,1,,
,5627,LEWIS BROTHERS TREE FARM INC,1,1,,
,5628,MIKE BUTIKOFER,1,1,,
,5674,DUTTON FARMS,1,1,,
,5756,4L CONSTRUCTION INC,4,4,,
,5841,RHEA FARMS INC,1,1,,
,5873,CORNELIU PRELIPCEANU DBA ELSI BEES,1,1,,
,5936,FLORES CONSTRUCTION LLC,1,1,,
,5951,HOG SLAT INC,1,1,,
,6043,ALEWELT CONCRETE INC,30,32,2,6
,6357,VINCE RENNER TRUCKING LLC,1,1,,
,6372,STEIDINGER FARMS INC,1,1,,
,6380,NIEMEIER FARMS,1,1,,
,6406,PECC INC,1,1,,
,6479,ALLEN PRIMROSE FARMS,2,2,,
,6675,CHRIS BROWN TRUCKING LLC,1,1,,
,6812,SUMMIT FARMS LLC,1,1,,
,6818,PRECISION PUMPING INC,1,1,,
,6820,MCCLURE CUSTOM PUMPING LLC,1,1,,
,6825,PRESTON BILLADEAU,1,1,,
,6853,PINICON FARM,3,2,,1
,6858,COOPERATIVE PRODUCERS INC,1,1,,
,6868,BALDWIN AG LLC,1,1,,
,6935,L R FORAGE HARVESTING,1,1,,
,7220,S&S JERSEYLAND DAIRY LLC,1,1,,
,7440,SIGNET BUILDERS INC,5,7,,
,7506,PAPLOW HARVESTING,1,1,,
,7524,R B FAMILY FARMS INC,1,1,,
,7643,DIEDRICH AG LLC,1,1,,
,7697,WESTERN ARROW LLC,1,1,,
,7759,ANDREW KONGSLIE,1,1,,
,7766,FARMER DAUGHTERS LLC,1,1,,
,,HOUSER FARMS,1,1,,
,7796,"WESTERN ILLINOIS AGRI-SYSTEMS, INC",1,1,,
,7822,STEVE SWANSON,2,2,,
,7894,JCS FAMILY FARMS,1,1,,
,8074,JEFFERY PAPLOW,1,1,,
,8095,JORDEN AG ENTERPRISES LLC,1,1,,
,8101,RIGGIN FARMS INC,1,1,,
,8178,ELLIS ERWIN,1,1,,
,8280,BUSHMAN CUSTOM FARMING LLC,2,2,,
,8389,ROSEMONT FARMS LLC,1,1,,
,8398,BEIJING TONG REN TANG HLTH USA INC,1,1,,
,8402,D&M WAGNER INC,,,,1
,8450,ROBERT HOMAN,1,1,,
,8460,ED JACKSON AGRICULTURE,,1,,
,8614,TIM METZLER,1,1,,
,8975,WINSOME FARMS GP,1,1,,
,9054,FONDOMONTE ARIZONA LLC,1,1,,
,,SELECT PRIDE CONSTRUCTION INC,1,1,,1
,9069,4L LAND LLC,1,1,,
,9088,BRULL HARVESTING,1,1,,
,9142,ROY UNRUH,1,1,,
,9228,S C CATTLE CO INC,1,1,,
,9237,JASON KADRMAS,1,1,,
,9274,JIM DISHMAN HARVESTING & TRUCKING,1,1,,
,9292,HONEYMANN FARMS,1,1,,
,9295,TJ S FARM AND RANCH INC,1,1,,
,9321,IOWA FAMILY FARMS,1,1,,
,9358,KEVIN HUFFMAN FARMS LLC,2,2,,
,9403,RICHLAND FARMS PARTNERSHIP,1,1,,
,9426,SUSAN KADRMAS,1,1,,
,9434,ERICKSON GRAIN,1,1,,
,9482,4M FAMILY FARMZ INC,,1,,
,9503,CLARK DICKEY & SONS MGMT CO INC,1,1,,
,9540,T SWENSON TRUCKING LLC,1,1,,
,9794,DENNIS WALEN,1,1,,
Iowa Total,,,203,209,2,14
Kansas,119,KRAMER HARVESTING LLC,1,1,,
,134,JOSSERAND HARVESTING LLC,1,1,,
,216,LEO STEPHENS INC,1,1,,
,357,S&J BECKMAN INC,,1,,
,449,HARVEST 1,2,2,,
,470,FREY VIEW DAIRY FARM INC,1,1,,
,884,JMAC FARMS LLC,1,1,,
,891,SNELL HARVESTING INC,1,1,,
,1025,FENSKY HARVESTING,1,1,,
,1331,GREAT PLAINS ALFALFA,1,1,,
,1401,CIRCLE C FARMS HARVESTING,1,1,,
,1723,SUNNYE RIDGE FARM INC,1,1,,
,2123,(blank),1,1,,
,2524,G&R FARMS,1,1,,
,2584,GREG FRIESEN HARVESTING LLC,1,1,,
,2657,KEIMIG HARVESTING & TRUCKING LLC,1,1,,
,2673,E & H FARMS INC,1,1,,
,2941,HANSON FARMS,1,1,,
,3110,SCHLESSIGER FARMS LLC,1,1,,
,3351,"HABIGER FARMS HARVESTING, LLC",1,1,,
,3584,CALLOWAY PLANTING CO,1,1,,
,3599,SEALOCK INC,1,1,,
,3926,S/R FARMS INC,1,1,,
,4240,KOTAPISH FARMS,1,1,,
,5023,CARL OCHS LTD,1,1,,
,5755,LARRY SCHEMPER,1,1,,
,6032,PPI HARVESTING LLC,1,1,,
,6044,JANZEN TRANSPORT LLC,1,1,,
,6382,HIGH PLAINS AGRICULTURAL AND TRANS,1,1,,
,6423,BEFORT FARMS,1,1,,
,6431,HARTLAND FARMS,2,2,,
,6480,TWIN AG FARMS INC,1,1,,
,6489,BRADFORD BROWN,1,1,,
,6528,BARKMAN APIARIES LLC,1,1,,
,6576,J&M,1,1,,
,6637,KELLS FARM PARTNERSHIP,1,1,,
,6650,RANDALL SCHWANKE FARMS,1,1,,
,6935,B S CVF INC,1,,,1
,7170,WETTSTEIN FARMS,1,,,1
,7232,BRUSH CREEK TRUCKING,1,1,,
,7637,BEFORT HARVESTING LLC,2,2,,
,8015,KINKLER FARMS PARTNERSHIP,1,1,,
,8092,FDK PARTNERSHIP,1,1,,
,8257,LOHMANN FARMS,1,1,,
,8333,KEESECKER AGRI BUSINESS INC,1,1,,
,8585,TWO BUDS TRUCKING SOLE PROPIETER,,1,,
,8716,TWO BUDS TRUCKING LLC,1,1,,
,8823,WILLIAMSON SILAGE HARVESTING,1,1,,
,8979,SEBES HAY LLC,1,1,,
,9272,B2J INC DBA CHEM TILL SPRAY CO,1,1,,
,9333,P & D CATTLE,1,1,,
,9402,PHOS FARMS LLC,1,1,,
,9503,SHUGHART HARVESTING,1,1,,
,9567,TIM DEWEY TRUCKING CO,,1,,
,9769,C AND C FARMS,1,1,,
,9815,TURNER FARMS,1,,,1
,9996,SCHIPPERS HARVESTING LLC,1,1,,
Kansas Total,,,57,57,,3
Kentucky,,P & C TOBACCO,1,1,,
,,(blank),1,1,,
,1,NICK SMITH CATTLE CO,1,1,,
,6,SPENDTHRIFT FARM,1,1,,
,17,HIGHBAUGH FARMS TOBACCO LLC,1,1,,
,72,P L TOBACCO INC,1,1,,
,128,G WATTS HUMPHREY JR DBA SHAWNEE FA,1,1,,
,164,(blank),1,1,,
,170,HELP FROM ABOVE FARM INC,1,1,,
,175,JEFF MACK FARMS LLC,1,1,,
,201,(blank),1,1,,
,209,GREENSCAPE CONTRACTORS SOD FARMS L,1,1,,
,220,LYONS LAWN CARE & LANDSCAPE LLC DA,1,1,,
,238,NEWCOME FARMS LLC,1,1,,
,259,WM TOBACCO FARMS LLC,1,,,1
,289,(blank),1,1,,
,311,HSW PARTNERSHIP,1,1,,
,316,SVG FARM LLC,1,1,,
,348,(blank),1,1,,
,370,CHRISTIAN COUNTY TOBACCO FARMS LLC,1,1,,
,381,KY AG PARTNERS LLC,1,1,,
,393,MT VERNON FARMS LLC,1,1,,
,394,FROG FARMS LLC,1,1,,
,500,(blank),1,1,,
,504,ROGER A KNOTH,1,1,,
,509,(blank),1,1,,
,522,JAMES SANDERS NURSERY INC,,1,,
,533,DEER CREEK FARMS LLC,1,,,1
,549,KNOTT FARMS LLC,1,1,,
,557,(blank),1,1,,
,580,(blank),1,1,,
,582,LAKELAND YARD AND GARDEN,1,1,,
,613,(blank),1,1,,
,640,DOSS FARMS LLC,1,1,,
,656,COURTNEY FARMS LLC,1,1,,
,667,FIBER FARMS LLC,1,,,1
,679,(blank),1,,,1
,710,(blank),1,1,,
,734,LANGLEY FARMS LLC,1,1,,
,736,BUSH & SON FARMS,1,1,,
,747,BARTON S CREEK FARM ASSN,1,1,,
,750,JONES ORCHARD PARTNERSHIP,1,1,,
,782,FRANCIES FARMS LLC,1,1,,
,845,(blank),1,1,,
,861,JOE DAN TAYLOR FARMS,1,1,,
,875,FPS FARMS,1,1,,
,893,(blank),1,1,,
,907,DOUBLE F ENTERPRISES INC,1,1,,
,,"TODD CLARK FARMS, INC.",1,1,,
,922,T AND M FARMS LLC,1,1,,
,923,LEESWOOD FARM INC,1,,,1
,947,NORTH AMERICAN TOBACCO CO LLC,1,1,,
,1021,SNOW HILL NURSERY INC,1,1,,
,1027,BARR FARMS ORGANIC PRODUCE LLC,1,1,,
,1049,(blank),1,1,,
,1051,FRANK FLYNN DBA BLOOMFIELD FARMS,1,1,,
,1071,WALNUT GROVE FARMS PARTNERSHIP,1,1,,
,1099,BOARD INVESTMENTS USA LLC,1,1,,
,1119,(blank),1,1,,
,1157,(blank),1,1,,
,1231,CHARLES S FERGUSON DBA FERGUSON FA,1,1,,
,1239,HAYDEN LANDSCAPE & DESIGN INC,1,1,,
,1262,(blank),1,1,,
,1272,(blank),1,1,,
,1341,KERMIT & RAY LEWIS COFFEY PARTNERS,1,1,,
,1381,WARRINGTON FARMS LLC,1,1,,
,1442,GREY YOUNG FARMS,1,,,1
,1484,(blank),2,2,,
,1493,WINSTAR FARM LLC,1,1,,
,1495,DBA GUTHRIE FARMS,1,,,1
,1585,DELVIN FARMS LLC,1,1,,
,1600,NEWBERRY FARMS LLC,1,1,,
,1606,MCKENZIE FARM LLC,,2,,
,1633,DEER RUN NURSERY,1,1,,
,1717,MEADOW BROOK GAME FARM,1,1,,
,1726,(blank),1,1,,
,1728,(blank),1,1,,
,1743,HANNA HILL FARM,1,1,,
,1774,FARMERS TOBACCO,1,1,,
,1804,KIRKS FARM INC,1,1,,
,1819,(blank),1,,,1
,1831,(blank),1,1,,
,1839,GLORY GARDEN S AND GREENHOUSE LLC,1,1,,
,1927,DUNNING HILL FARMS GEN PARTNERSHIP,2,1,,1
,1971,AULBACH LAND USA LLC,1,1,,
,1992,CLARK FARMS,1,1,,
,1994,HAMBY FARMS LLC,1,1,,
,2122,ERIC SMITH DBA ERIC SMITH FARMS,1,1,,
,2151,(blank),1,,,1
,2175,(blank),1,1,,
,2198,(blank),1,1,,
,2218,LANES END STALLIONS INC,1,1,,
,2224,AGKY LLC,1,1,,
,2229,SMITH FARMS,1,,,1
,2243,(blank),1,1,,
,2251,(blank),1,1,,
,2262,(blank),1,1,,
,2291,(blank),1,1,,
,2303,WHH LLC,1,1,,
,2354,(blank),1,1,,
,2358,INSCOE FARMS,1,1,,
,2383,MILLERS & SONS TOBACCO LLC,1,1,,
,2391,HEAD FARMS LLC,1,,,1
,2410,(blank),1,1,,
,2416,(blank),1,1,,
,2429,(blank),1,1,,
,2480,TEXTER MOUTAIN NURSERY INC,1,1,,
,2505,JOINT LABOR LLC,1,1,,
,2509,HOBBS FARM LLC,1,1,,
,2602,GROSS FARMS,1,1,,
,2626,PASCHALL AG OPERATIONS LLC,1,1,,
,2632,TANDY L KING,1,1,,
,2640,(blank),1,1,,
,2671,LANDSCAPERS PARADISE LLC,1,1,,
,2680,M & M FARMS ASSN,1,1,,
,2688,(blank),1,1,,
,2729,SEAY FARMS LLC,1,,,1
,2732,ANDY PERKINS FARMS LLC,1,,,1
,2737,JESSE & SHELBY EMMICK PARTNERSHIP,1,1,,
,2738,FALCON RIDGE FARM LLC,1,1,,
,2743,WORKMAN FARMS INC,2,2,,
,2750,(blank),1,1,,
,2752,BLANKENSHIP FARMS & NURSERY,1,,,1
,2765,TOMMY PINSON DBA PINSON FARMS,1,1,,
,2796,LONG JACKSON LLC,1,1,,
,2804,FROGUE FARMS,1,1,,
,2810,BARNETT FARMS LLC,1,1,,
,2814,J & A FARMS LLC,1,1,,
,2828,(blank),1,1,,
,2844,(blank),1,1,,
,2962,HAMPTON TOBACCO LLC,1,1,,
,2982,C B FARMS LLC,1,1,,
,2984,JONATHAN BROWN,1,1,,
,2991,SYKES FAMILY FARMS LLC,1,,,1
,3027,(blank),1,1,,
,3073,HARTON TOBACCO,2,2,,
,3077,MTL FARMING LLC,1,1,,
,3078,(blank),1,1,,
,3081,(blank),1,,,1
,3104,TRIPLE B FARMS LLC,1,1,,
,3115,PEREZ CITRUS INC,,1,,
,3133,JAMES SCOTT DBA SCOTT FARMS,1,1,,
,3153,(blank),1,1,,
,3188,(blank),1,1,,
,3199,(blank),1,1,,
,3203,(blank),1,1,,
,3214,WADE FARMS LABOR MGMT LLC,1,1,,
,3260,(blank),1,1,,
,3280,(blank),1,1,,
,3297,(blank),1,1,,
,3321,CONSIDINE FARM INC,1,1,,
,3322,(blank),1,,,1
,3344,RWC TLC LLC,1,1,,
,3358,CGCJ ENTERPRISES LLC,1,1,,
,3407,JONES BROTHERS FARMS LLC,1,1,,
,3448,(blank),1,1,,1
,3466,JARED DONALDSON FARMS,1,1,,
,3513,MACKEY ENTERPRISES LLC,1,1,,
,3523,KELLY OVEREBY FARMS,1,1,,
,3583,P & F TOBACCO,2,2,,
,3589,(blank),1,,,1
,3593,DEVINE FARMS,1,1,,
,3597,FARMER BROTHERS PARTNERSHIP,1,,,1
,3615,(blank),1,1,,
,3620,(blank),1,,,1
,3645,VEERING LLC,1,1,,
,3647,BLUE BOY LAWN & LANDSCAPE LLC,1,1,,
,3692,FURNWOOD FARMS LLC,1,1,,
,3739,MDC FARM INC,1,1,,
,3750,(blank),1,1,,
,3755,CUNDIFF FARMS,1,1,,
,3807,FITZGERALD FARMS INC,1,1,,
,3809,(blank),1,1,,
,3847,MORTON FARMS LLC,2,2,,
,3855,MCCORD FARMS LLC,1,1,,
,3857,ELK FORK FARMS LLC,1,1,,
,3863,D & H FARMS LLC,1,1,,
,3918,BIRGE FARMS LLC,1,1,,
,3951,SHULTZ FARMS LLC,1,1,,
,3956,BRIAR ROSE NURSERY,1,1,,
,,WM AUSTIN NEWTON,1,1,,
,3972,JCB FARMS LLC,1,1,,
,4051,MURDOCK FARMS INC,1,1,,
,4067,JULIE RINI DBA CROWNING POINT FARM,1,1,,
,4075,WILKERSON FARMS INC,1,1,,
,4076,TAYLOR FARMS TOBACCO LLC,1,1,,
,4085,SHEMWELL FARMS,1,1,,
,4088,LANTENN FARMS INC,1,1,,
,4093,(blank),1,,,1
,4112,TEASLEY FARMS LLC,1,1,,
,4115,(blank),1,,,1
,4118,(blank),1,1,,
,4127,(blank),1,,,1
,4128,(blank),1,1,,
,4159,(blank),1,1,,
,4164,(blank),1,1,,
,4184,FOREST LAWN NURSERY LLC,1,1,,
,4201,(blank),1,,,1
,4209,PEARSON FARMS LLC,1,1,,
,4216,(blank),1,1,,
,4228,HALLMAN TOBACCO FARM PARTNERSHIP,1,1,,
,4242,JEFFREY D. HOWARD,1,1,,
,4243,(blank),1,1,,
,4272,RED HILL TOBACCO LLC,1,1,,
,4325,(blank),1,1,,
,4395,M AND H TOBACCO FARM INC,1,1,,
,4402,GORDON FARMS,1,1,,
,4418,(blank),1,1,,
,4421,(blank),1,,,1
,4450,SINK HOLE FARMS,1,1,,
,4456,ANDERSON SURSERIES INC,1,1,,
,,(blank),1,1,,
,4465,BOBBY G HOLLOWAY FARMS,1,1,,
,4494,(blank),1,1,,
,4509,(blank),1,,,1
,4518,RIVER BLUFF FARM,,,,1
,4565,NEWMAN TOBACCO CO LLC,1,1,,
,4567,HOOKS FARMS,1,1,,
,4576,MUDD FARM INC,1,1,,
,4578,MARK CUNNINGHAM FARMS LLC,2,2,,
,4595,SMITH & SCOTT OF WESTERN KY LLC,1,1,,
,4650,WILCOXSON FARM LLC,1,,,1
,4653,HOLLIDAY TOBACCO INC,1,,,1
,4667,(blank),1,,,1
,4703,GLENN BROTHERS FARMS LLC,1,1,,
,4745,YOUNG FARMS,1,1,,
,4746,(blank),1,1,,
,4823,(blank),1,1,,
,4829,WARD FARMS INC,1,1,,
,4834,CHESTER FARMS,1,1,,
,4877,A & W SOUTHERN SOD FARMS LLC,1,1,,
,4932,(blank),1,1,,
,4979,MAPLEBREEZE FARMS LLC,1,1,,
,4999,(blank),1,1,,
,5002,MIKE BROWN S WHOLESALE NURSERY LLC,1,1,,
,5025,(blank),1,,,1
,5136,CAMP FARMS LLC,1,1,,
,5163,GARTH MIDDAUGH DBA GM FARMS TOBACC,1,1,,
,5198,JAMES L SCHNELLER,1,1,,
,5227,(blank),1,1,,
,5268,(blank),1,1,,
,5272,(blank),1,1,,
,5313,LANDCASTER LAWN & LANDSCAPING LLC,1,1,,
,5341,KNOX FARM LLC,1,1,,
,5359,PERRY FARMS LLC,1,1,,
,5378,WILSON S CEDAR POINT FARMS LLC,2,2,,
,5398,(blank),1,,,1
,5411,(blank),1,1,,
,5436,HAYCO FARMS LLC,1,1,,
,5478,S K FARMS,1,1,,
,5500,(blank),1,1,,
,5542,(blank),1,1,,
,5566,G A SMITH FARMS LLC,1,,,1
,5587,DRAPER FARMS LLC,1,1,,
,5602,(blank),1,1,,
,5617,(blank),1,1,,
,5719,(blank),1,1,,
,5731,(blank),1,1,,
,5754,ELMWOOD STOCK FARM LLC,1,1,,
,5781,AWGR LLC,1,1,,
,5813,ROBERTSON FARMS LLC,1,1,,
,5898,PETERSON FARMS PARTNERSHIP,1,1,,
,5905,TUCKER FARMS GROUP LLC,1,1,,
,5923,(blank),1,1,,
,5931,(blank),1,1,,
,5945,TRIPLE J FARMS OF CEDAR HILL LLC,1,,,1
,5954,(blank),1,1,,
,5966,CRITCHELOW & SONS LLC,1,1,,
,5977,(blank),1,1,,
,5988,BDH TOBACCO LLC,1,1,,
,6011,(blank),1,,,1
,6022,CDL TOBACCO LLC,1,,,1
,6055,L & H FARMS LLC,1,1,,
,6069,JACKSON ORCHARD AND NURSERY INC,1,1,,
,6141,GREAT JAMES LLC,1,1,,
,6159,TALLGRASS FARM LLC,1,1,,
,6202,OWEN & RUST FARMS LLC,1,1,,
,6226,(blank),1,1,,
,6230,(blank),1,1,,
,6250,8 SUNNYSIDE FARMS LLC,1,1,,
,6275,(blank),1,,,1
,6306,(blank),2,2,,
,6326,LITTLE RIVER LEAF LLC,1,1,,
,6331,MATTINGLY BROS FARMS,1,1,,
,6361,COOTS FARM LLC,1,1,,
,6368,(blank),1,1,,
,6371,(blank),1,1,,
,6381,WIGGINGS FARMS LLC,2,1,,1
,6391,MAYFIELD FARM & NURSERY LLC,1,1,,
